41,36,23,42.38,18,30.95
34,35,31,41.88,3,26.07
42,40,18,41.50,24,37.45
38,45,17,41.25,21,29.30
31,39,30,40.13,1,27.95
38,42,20,38.75,18,30.54
30,45,25,36.75,5,22.41
45,36,19,37.38,26,20.59
42,43,15,37.50,27,19.82
53,33,14,39.88,39,18.01
53,34,13,41.25,40,20.82
44,36,20,42.00,24,21.15
40,38,22,43.13,18,18.21
45,35,20,44.00,25,17.31
46,32,22,46.00,24,16.75
41,36,23,45.50,18,21.40
53,32,15,46.88,38,17.48
40,38,22,45.25,18,22.47
44,31,25,44.13,19,19.11
43,34,23,44.00,20,21.37
33,41,26,43.13,7,20.66
38,39,23,42.25,15,19.80
34,40,26,40.75,8,19.35
25,44,31,38.75,-6,19.20
27,49,24,35.50,3,17.73
29,38,33,34.13,-4,22.00
28,44,28,32.13,0,16.07
33,48,19,30.88,14,21.35
36,44,20,31.25,16,20.52
35,44,21,30.88,14,19.55
37,39,24,31.25,13,18.95
44,36,20,33.63,24,18.56
30,44,26,34.00,4,19.35
27,38,35,33.75,-8,24.93
25,42,33,33.38,-8,23.62
23,32,45,32.13,-22,31.28
23,37,40,30.50,-17,39.36
29,31,40,29.75,-11,33.95
34,35,31,29.38,3,30.91
34,38,28,28.13,6,22.26
32,35,33,28.38,-1,27.95
25,43,32,28.13,-7,35.72
25,34,41,28.13,-16,18.08
32,35,33,29.25,-1,21.57
43,36,21,31.75,22,24.05
38,42,20,32.88,18,20.09
50,36,14,34.88,36,24.01
40,42,18,35.63,22,22.21
48,35,17,37.63,31,18.81
49,30,21,40.63,28,21.80
44,30,26,43.00,18,21.48
41,34,25,44.13,16,19.61
34,34,32,43.00,2,18.92
41,37,22,43.38,19,19.53
38,39,23,41.88,15,13.05
51,28,21,43.25,30,17.85
56,24,20,44.25,36,17.64
47,33,20,44.00,27,6.29
48,38,14,44.50,34,14.92
48,35,17,45.38,31,12.76
37,39,24,45.75,13,8.62
37,39,24,45.25,13,7.67
36,45,19,45.00,17,10.48
37,42,21,43.25,16,7.76
48,31,21,42.25,27,12.71
38,33,29,41.13,9,19.07
40,35,25,40.13,15,15.83
36,38,26,38.63,10,12.46
